STABR,YEAR,POPU_LSA,CENTLIB,BRANLIB,BKMOB,BKVOL,EBOOK,VISITS
AK,2020,644542,79,15,1,2106328,1650561,2480271
AL,2020,4887871,224,72,15,8470866,8289622,7959151
AR,2020,2935531,59,168,3,5643453,5549449,4058477
AS,2020,57637,1,1,0,44530,7303,25413
AZ,2020,11495065,84,138,9,7351702,11051177,16665171
CA,2020,39767327,199,973,54,55900399,35502503,95821437
CO,2020,5716398,95,168,12,9303385,6373535,9320267
CT,2020,4329754,191,45,5,12669212,2853186,14204846
DC,2020,689545,1,26,0,201230,38623,1852701
DE,2020,973757,19,14,2,1426697,605388,2744471
FL,2020,21888745,56,480,21,24039560,12547497,34862119
GA,2020,10833472,60,332,9,14732883,2955286,18209721
GU,2020,168678,1,5,0,286930,0,35115
HI,2020,1415872,1,50,2,3173711,135098,2597672
IA,2020,3106611,543,24,4,11451719,27325516,11854428
ID,2020,1535815,100,49,13,4251260,1300365,4533303
IL,2020,11736506,623,152,17,37805583,42992157,50159232
IN,2020,6210308,235,192,26,21041922,16474133,12760976
KS,2020,2519540,324,47,9,8438280,110248113,5433344
KY,2020,4475071,120,84,72,8990741,19259500,11430998
LA,2020,4595036,67,269,25,11046145,6505598,6634013
MA,2020,6901795,369,92,6,28468380,24536003,26967040
MD,2020,6052177,14,175,21,10419314,4041826,17483983
ME,2020,1315468,255,4,1,6093087,4997940,3964950
MI,2020,9857597,393,254,10,25321988,23415554,33880114
MN,2020,6033891,127,228,9,13476766,4963515,7863564
MO,2020,5463832,139,227,24,15332105,7511565,19758877
MP,2020,53883,1,2,1,83624,5500,44710
MS,2020,2996401,53,176,3,5375400,867166,3494007
MT,2020,988533,82,34,8,2392780,3256787,2982245
NC,2020,10487088,71,318,21,15011479,9941227,21615878
ND,2020,687262,79,8,10,2093137,1547516,912480
NE,2020,1595049,244,20,7,5544038,5425825,3613263
NH,2020,1476655,224,6,0,5368969,8903890,3458789
NJ,2020,9404597,296,144,11,24795909,26702512,13375081
NM,2020,1502038,98,28,1,3905749,1099897,4679185
NV,2020,3111753,20,64,4,3317983,719992,6858254
NY,2020,19568973,755,314,14,63897822,50893315,37763326
OH,2020,11510799,239,483,55,37088876,121452502,44225213
OK,2020,3255364,119,96,4,5799339,7166584,9563212
OR,2020,4677994,138,83,5,8587061,11633991,13501598
PA,2020,12436746,443,175,21,23440175,11320142,16920514
RI,2020,1424662,47,24,2,3080587,5159507,3701021
SC,2020,4652360,42,163,33,8223237,5318132,10165262
SD,2020,1277428,108,30,5,2698945,2307345,1480357
TN,2020,6656447,185,99,3,10275228,26243486,12990646
TX,2020,26710375,553,327,13,34571175,17065978,35191610
UT,2020,3141334,62,63,13,6267986,6468692,8589522
VA,2020,8460940,82,283,23,14920907,20238130,23266470
VI,2020,106405,0,5,3,176762, , 
VT,2020,634191,183,3,4,2918311,2024971,2506720
WA,2020,7544343,52,301,30,11617107,4942445,9749970
WI,2020,5854594,378,81,8,17675746,59778512,12743232
WV,2020,1852994,96,74,9,4565740,11160770,3250156
WY,2020,578759,23,51,2,2056842,2209890,2257827
AK,2019,649334,80,15,1,2232659,1488545,3109280
AL,2019,4874747,223,72,14,8693533,8968322,14451907
AR,2019,2891314,60,167,3,5897291,3909643,9235711
AS,2019,58500,1,1,0,44397,1265,40307
AZ,2019,11332976,84,139,10,7632129,9211176,23446011
CA,2019,39911441,201,972,53,60245875,22165644,148410446
CO,2019,5662210,95,168,14,9485445,4547944,29581592
CT,2019,4349902,192,46,5,13114727,2793723,20128731
DC,2019,705749,0,26,0,970927,32427,3820005
DE,2019,967974,19,14,2,1452621,539458,4056165
FL,2019,21503969,60,480,20,26035166,10571615,63288735
GA,2019,10766121,61,338,9,15817114,1175116,26002521
GU,2019,168678,1,5,0,278963,0,100095
HI,2019,1420593,1,50,2,2895611,104812,3435595
IA,2019,3095494,543,24,4,11602054,22220442,16447394
ID,2019,1506630,100,50,12,4238484,831813,8291157
IL,2019,11730170,623,156,17,38460088,33600083,60853034
IN,2019,6207854,235,189,26,21183322,12359334,30246982
KS,2019,2510916,324,47,8,8659726,42365426,13463340
KY,2019,4461272,120,84,72,9143825,17177939,16156952
LA,2019,4609199,67,270,26,11417466,8437382,15934343
MA,2019,6816486,369,92,6,28936651,16981346,39203478
MD,2019,6016447,14,176,21,10076618,3022499,24904544
ME,2019,1311255,256,4,1,6094863,2898805,6645905
MI,2019,9850649,393,251,9,25927628,16143669,43740673
MN,2019,5965664,128,227,9,13474520,6133793,21901792
MO,2019,5463832,139,227,24,15462067,9597848,24163531
MP,2019,51433,1,2,1,82199,5000,147983
MS,2019,3005673,53,180,2,5464245,1244740,6982767
MT,2019,988533,82,35,8,2411720,2136583,4052887
NC,2019,10401960,70,322,21,15426176,9483200,30188495
ND,2019,684668,79,8,11,2118987,1159194,2074416
NE,2019,1591793,244,19,7,5595647,4973659,7164122
NH,2019,1476655,224,6,0,5548739,6442614,6849464
NJ,2019,9404597,296,144,11,25058134,13326880,42035525
NM,2019,1501042,97,28,1,4072650,808220,6829489
NV,2019,3056542,20,65,3,3688336,834038,9391337
NY,2019,19563197,755,314,13,64494140,38646567,95175355
OH,2019,11510799,239,481,56,37946591,110549795,67937539
OK,2019,3244166,119,96,4,6152180,5813651,13168513
OR,2019,3878377,136,85,6,8729458,8347290,19632424
PA,2019,12446590,448,174,21,23930321,12507394,40275669
RI,2019,1424662,47,24,2,3144045,3565311,5170991
SC,2019,4652360,42,160,31,8483320,3792237,13591790
SD,2019,1270281,111,30,4,2767347,2112628,3692708
TN,2019,6600484,186,98,3,10883669,25323904,18036275
TX,2019,26435056,553,328,12,36611607,12865278,66097346
UT,2019,3096581,61,61,13,6358748,3911044,14821815
VA,2019,8403629,82,282,23,15399727,15224705,33548345
VI,2019,106405,0,5,3,176762, , 
VT,2019,631386,183,3,4,2922933,1532115,3480676
WA,2019,7436699,52,298,30,11857230,5303739,36055237
